SUBDIVISION ,ANNUAL 
A & N ISLAND ,2926.3
ARUNACHAL PRADESH ,2933.7
ASSAM & MEGHALAYA ,2624.9
N M M T ,2278
SHWB & SIKKIM ,2708.9
GANGETIC WEST BENGAL ,1527.2
ODISHA ,1460.5
JHARKHAND ,1296.3
BIHAR ,1205.6
EAST U.P. ,1018.6
WEST U.P. ,886.2
UTTARAKHAND ,1580.9
HAR. CHD & DELHI ,562.8
PUNJAB ,635.9
HIMACHAL PRADESH ,1373.9
JAMMU & KASHMIR ,1205.3
WEST RAJASTHAN ,299.2
EAST RAJASTHAN ,671.3
WEST MADHYA PRADESH ,956.3
EAST MADHYA PRADESH  ,1169.4
GUJARAT REGION ,956.9
SAURASHTRA & KUTCH ,511.3
KONKAN & GOA ,3101.1
MADHYA MAHARASHTRA ,876.8
MARATHWADA ,821.6
VIDARBHA ,1084.5
CHHATTISGARH ,1298.9
COASTAL ANDHRA PRADESH ,1024.2
TELANGANA ,942.6
RAYALASEEMA ,706.1
TAMILNADU & PONDICHERRY ,914.4
COASTAL KARNATAKA ,3526.3
N. I. KARNATAKA ,740.3
S. I. KARNATAKA ,1019.2
KERALA ,2924.3
LAKSHADWEEP ,1600
